report_type,title,narrative,site,activity,location,occurred_at,reporter_name,gold_sif,gold_lsr,split
UNSAFE_CONDITION,Safety concern requiring follow-up,Supervisor walkdown recorded that Permit had expired but the crew continued working on the equipment for another hour before noticing Observed during morning toolbox talk follow-up.,Site E (Terminal),General Maintenance,compressor building,2026-04-15T01:00:00,Maintenance Engineer,MEDIUM,Work Authorization,train
UNSAFE_CONDITION,Routine safety observation,Supervisor walkdown recorded that Fire watch remained in place with extinguisher ready while cutting operations proceeded under a valid hot work permit Observed during morning toolbox talk follow-up.,Site E (Terminal),Hot Work,pipe rack area,2026-08-04T05:00:00,Contractor,NON_SIF,Hot Work,test
NEAR_MISS,Safety concern requiring follow-up,Supervisor walkdown recorded that A worker leaned into the swing radius of an operating excavator for a few seconds to shout an instruction before stepping back to a safe distance Observed during morning toolbox talk follow-up.,Site C (Gas Processing),General Maintenance,excavation area,2026-02-16T10:00:00,Maintenance Engineer,MEDIUM,Line of Fire,train
NEAR_MISS,Barrier verification gap,"Permit close-out comment: Wind speed approached the crane's rated operating limit partway through a lift, and the lift was paused only after already being underway Equipment tag referenced in the PTW package.",Site C (Gas Processing),Lifting Operation,crane pad,2026-04-19T16:00:00,Field Technician,MEDIUM,Safe Mechanical Lifting,train
NEAR_MISS,Barrier verification gap,"The lift plan was in place, but the rigging inspection checklist was completed from memory rather than a physical inspection immediately before the lift.",Site B (Pipeline Corridor),Lifting Operation,crane pad,2026-02-18T12:00:00,Field Technician,MEDIUM,Safe Mechanical Lifting,train
NEAR_MISS,Potential serious injury precursor,"Ground crew were repositioning a suspended module when the tag line parted, swinging the load toward two workers who stepped clear just in time.",Site E (Terminal),Lifting Operation,module lift area,2026-05-04T09:00:00,Operator,HIGH,Line of Fire,train
NEAR_MISS,Unclear report - needs review,"A second-hand report describes a colleague nearly getting hurt earlier in the shift, without naming the activity, hazard, or location.",Site B (Pipeline Corridor),General Maintenance,unspecified area,2026-06-05T18:00:00,Contractor,REVIEW,No applicable rule,train
UNSAFE_CONDITION,Good practice observed,Isolation was completed and confirmed by the shift supervisor before the pump seal replacement began; work proceeded without incident.,Site B (Pipeline Corridor),General Maintenance,pump house,2026-08-03T01:00:00,Operator,NON_SIF,Energy Isolation,train
NEAR_MISS,Barrier verification gap,"A junior technician disconnected a hydraulic line without checking whether isolation had been confirmed, and hydraulic fluid sprayed nearby.",Site B (Pipeline Corridor),General Maintenance,hydraulic skid,2026-07-10T17:00:00,Operator,MEDIUM,Energy Isolation,train
NEAR_MISS,Potential serious injury precursor,Contractor entered a tank for inspection before the gas test was completed and the permit was signed.,Site B (Pipeline Corridor),Confined Space Entry,storage tank,2026-06-20T00:00:00,Maintenance Engineer,HIGH,Confined Space,train
NEAR_MISS,Barrier verification gap,Supervisor walkdown recorded that Cutting torch was used to remove a bracket near a vent that was not confirmed to be free of flammable vapours Observed during morning toolbox talk follow-up.,Site C (Gas Processing),Hot Work,tank farm perimeter,2026-06-09T18:00:00,Maintenance Engineer,MEDIUM,Hot Work,val
NEAR_MISS,Critical safety observation,Supervisor walkdown recorded that Line was opened before confirming isolation and residual pressure released onto the maintenance crew standing at the flange Observed during morning toolbox talk follow-up.,Site A (Upstream E&P),Pipeline Maintenance,flange assembly,2026-06-20T17:00:00,Operator,HIGH,Energy Isolation,test
UNSAFE_ACT,Potential serious injury precursor,Supervisor walkdown recorded that Worker entered the confined space without a standby attendant posted at the entry point Observed during morning toolbox talk follow-up.,Site E (Terminal),Confined Space Entry,vessel manway,2026-03-20T09:00:00,Contractor,HIGH,Confined Space,train
INCIDENT,Critical safety observation,Supervisor walkdown recorded that Worker was struck by a swinging pipe section during positioning after the tag line was released early Observed during morning toolbox talk follow-up.,Site B (Pipeline Corridor),Lifting Operation,pipe handling area,2026-06-08T08:00:00,Contractor,HIGH,Line of Fire,train
UNSAFE_CONDITION,Good practice observed,Supervisor walkdown recorded that Employee mentioned the word 'fall' while describing a decline in the site's monthly safety scores during a toolbox talk Observed during morning toolbox talk follow-up.,Site C (Gas Processing),General Maintenance,toolbox talk area,2026-06-15T16:00:00,Shift Supervisor,NON_SIF,No applicable rule,test
UNSAFE_CONDITION,Minor administrative item,"Crew maintained a safe distance from the suspended load throughout the lift, with the exclusion zone barricaded and supervised.",Site C (Gas Processing),Lifting Operation,laydown yard,2026-07-31T17:00:00,Field Technician,NON_SIF,Line of Fire,test
NEAR_MISS,Safety concern requiring follow-up,Permit close-out comment: A worker briefly stood within the marked exclusion zone to adjust a tag line before stepping back out as the lift resumed Equipment tag referenced in the PTW package.,Site A (Upstream E&P),Lifting Operation,crane lift zone,2026-06-11T09:00:00,Field Technician,MEDIUM,Line of Fire,train
NEAR_MISS,Critical safety observation,"Rig floor crew handled a stand of drill pipe without confirming the derrickman's readiness signal, causing a brief swing of the pipe near ground crew.",Site C (Gas Processing),Drilling Operations,rig floor,2026-06-06T05:00:00,Contractor,HIGH,Line of Fire,train
UNSAFE_CONDITION,Minor safety observation,"Loose cable tie found on walkway, no one nearby, corrected on the spot.",Site B (Pipeline Corridor),General Maintenance,site walkway,2026-02-19T20:00:00,Shift Supervisor,LOW,Working at Height,train
UNSAFE_CONDITION,Potential serious injury precursor,"A contractor began hot-tapping a live line under a permit that had actually been issued for a different, unrelated task.",Site C (Gas Processing),Pipeline Maintenance,live tie-in point,2026-05-13T01:00:00,Field Technician,HIGH,Work Authorization,train
UNSAFE_ACT,Near miss - review recommended,Supervisor walkdown recorded that Driver was using a mobile phone while driving between well sites on the access road Observed during morning toolbox talk follow-up.,Site D (Drilling Rig),Driving / Vehicle Movement,site access road,2026-05-18T01:00:00,Contractor,MEDIUM,Driving,train
NEAR_MISS,Potential serious injury precursor,Supervisor walkdown recorded that Technician opened a flange before confirming isolation. Residual pressure was released. No injury occurred Observed during morning toolbox talk follow-up.,Site C (Gas Processing),Pipeline Maintenance,flange near separator unit 3,2026-06-13T17:00:00,Maintenance Engineer,HIGH,Energy Isolation,test
UNSAFE_CONDITION,Routine safety observation,"Supervisor walkdown recorded that Continuous gas monitoring was maintained throughout the vessel entry, with the attendant never leaving the entry point and communication checks every 15 minutes Observed during morning toolbox talk follow-up.",Site C (Gas Processing),Confined Space Entry,process vessel manway,2026-03-13T16:00:00,Field Technician,NON_SIF,Confined Space,train
NEAR_MISS,Near miss - review recommended,"Supervisor walkdown recorded that A worker's harness lanyard was found unclipped for a brief period while repositioning on the scaffold, then reconnected immediately Observed during morning toolbox talk follow-up.",Site C (Gas Processing),Working at Height,scaffold platform level 2,2026-07-04T01:00:00,Operator,MEDIUM,Working at Height,train
NEAR_MISS,Safety concern requiring follow-up,Supervisor walkdown recorded that A worker briefly unclipped a fall-arrest lanyard to reposition along a narrow platform before re-clipping to the next anchor point a few steps later Observed during morning toolbox talk follow-up.,Site A (Upstream E&P),Working at Height,elevated walkway,2026-04-02T10:00:00,Maintenance Engineer,MEDIUM,Working at Height,test
UNSAFE_CONDITION,Good practice observed,"A journey management plan was filed, the vehicle passed its pre-trip inspection, and the driver took the scheduled rest break during the long-distance transfer.",Site A (Upstream E&P),Driving / Vehicle Movement,field access road,2026-08-09T03:00:00,Shift Supervisor,NON_SIF,Driving,test
NEAR_MISS,High-risk near miss,Supervisor walkdown recorded that A light vehicle lost traction on a graded haul road and slid toward the road edge before the driver regained control Observed during morning toolbox talk follow-up.,Site D (Drilling Rig),Driving / Vehicle Movement,haul road,2026-07-18T17:00:00,Operator,HIGH,Driving,train
NEAR_MISS,Barrier verification gap,Permit close-out comment: The isolation checklist for a pump seal job was signed off before the final zero-energy check had actually been walked down by the permit holder Equipment tag referenced in the PTW package.,Site C (Gas Processing),General Maintenance,pump seal station,2026-02-17T20:00:00,Contractor,MEDIUM,Energy Isolation,train
UNSAFE_CONDITION,Housekeeping item,"A rigging inspection tag had a smudged date that was difficult to read, though the sling itself was confirmed within its inspection interval by the rigging register.",Site E (Terminal),Lifting Operation,rigging yard,2026-06-13T08:00:00,Operator,LOW,Safe Mechanical Lifting,test
UNSAFE_CONDITION,Good practice observed,"Driver completed the journey management checklist, wore a seatbelt, and observed the posted speed limit throughout the trip.",Site C (Gas Processing),Driving / Vehicle Movement,field access road,2026-05-22T05:00:00,Maintenance Engineer,NON_SIF,Driving,val
NEAR_MISS,Near miss - review recommended,"Supervisor walkdown recorded that A near-miss involving a dropped tool was reported verbally at shift handover, but the exact height and location were not recorded before the report was logged Observed during morning toolbox talk follow-up.",Site E (Terminal),General Maintenance,unspecified elevated area,2026-08-09T23:00:00,HSE Officer,MEDIUM,Working at Height,val
NEAR_MISS,Potential serious injury precursor,Line was opened before confirming isolation and residual pressure released onto the maintenance crew standing at the flange.,Site D (Drilling Rig),Pipeline Maintenance,flange assembly,2026-03-16T11:00:00,Field Technician,HIGH,Energy Isolation,test
UNSAFE_ACT,Near miss - review recommended,Supervisor walkdown recorded that A driver briefly checked a text message at a stop sign before continuing the journey on the site access road Observed during morning toolbox talk follow-up.,Site B (Pipeline Corridor),Driving / Vehicle Movement,site access road,2026-07-27T10:00:00,Operator,MEDIUM,Driving,test
NEAR_MISS,Near miss - review recommended,"Supervisor walkdown recorded that The lift plan was in place, but the rigging inspection checklist was completed from memory rather than a physical inspection immediately before the lift Observed during morning toolbox talk follow-up.",Site C (Gas Processing),Lifting Operation,crane pad,2026-02-23T07:00:00,Shift Supervisor,MEDIUM,Safe Mechanical Lifting,train
UNSAFE_CONDITION,Good practice observed,Exclusion zone was properly established and enforced around the lifting operation; no personnel entered the line of fire.,Site A (Upstream E&P),Lifting Operation,crane lift zone,2026-08-14T05:00:00,Contractor,NON_SIF,Line of Fire,train
UNSAFE_CONDITION,Housekeeping item,A worn floor mat was noticed near the workshop entrance; scheduled for replacement during the next maintenance round.,Site D (Drilling Rig),General Maintenance,workshop entrance,2026-05-07T14:00:00,Maintenance Engineer,LOW,No applicable rule,train
NEAR_MISS,Safety concern requiring follow-up,"A near-miss involving a dropped tool was reported verbally at shift handover, but the exact height and location were not recorded before the report was logged.",Site C (Gas Processing),General Maintenance,unspecified elevated area,2026-07-22T03:00:00,Maintenance Engineer,MEDIUM,Working at Height,val
UNSAFE_CONDITION,Minor safety observation,A confined-space entry permit was found with a minor administrative field left blank after the job was already complete; no safety control was actually missing during the work.,Site B (Pipeline Corridor),Confined Space Entry,vessel entry point,2026-06-17T03:00:00,Maintenance Engineer,LOW,Confined Space,train
UNSAFE_CONDITION,Minor safety observation,Supervisor walkdown recorded that A vehicle's tire pressure was found slightly below the recommended level during a routine check; corrected before the vehicle was dispatched Observed during morning toolbox talk follow-up.,Site B (Pipeline Corridor),Driving / Vehicle Movement,vehicle yard,2026-03-12T13:00:00,Maintenance Engineer,LOW,Driving,train
UNSAFE_CONDITION,Minor safety observation,Supervisor walkdown recorded that A worn floor mat was noticed near the workshop entrance; scheduled for replacement during the next maintenance round Observed during morning toolbox talk follow-up.,Site B (Pipeline Corridor),General Maintenance,workshop entrance,2026-04-17T20:00:00,Contractor,LOW,No applicable rule,train
UNSAFE_CONDITION,Minor administrative item,Pre-tour safety meeting confirmed all rig floor personnel positions before pipe handling began; operation proceeded without incident.,Site A (Upstream E&P),Drilling Operations,rig floor,2026-06-13T10:00:00,Operator,NON_SIF,Line of Fire,train
